pair_id,ancestry,exposure,outcome,method,nsnp,b,se,pval,or,or_lo,or_hi,nIV_used,meanF,id.exposure,id.outcome
bmi-mort,EAS,bmi,all_cause_mortality_EAS,Weighted median,470,-0.223783830962152,0.561461434185298,0.690207252027767,0.799487940229865,0.266002853725845,2.40291018543644,470,76.4387046499274,ieu-b-40,ukb-e-4501_EAS
bmi-mort,EAS,bmi,all_cause_mortality_EAS,Simple mode,470,-0.129583577543459,1.87481047214606,0.944924970786166,0.87846116572179,0.0222767420327123,34.6412423570777,470,76.4387046499274,ieu-b-40,ukb-e-4501_EAS
bmi-mort,EAS,bmi,all_cause_mortality_EAS,Weighted mode,470,-0.129583577543459,2.87595739086959,0.964080619556922,0.87846116572179,0.00313082082735855,246.482971154999,470,76.4387046499274,ieu-b-40,ukb-e-4501_EAS
bmi-mort,EUR,bmi,all_cause_mortality_EUR,Inverse variance weighted,466,0.11467974057474,0.00986616584749709,3.12909142620876e-31,1.12151420455656,1.10003506383909,1.14341274416514,466,76.76648912953,ieu-b-40,ebi-a-GCST006701
bmi-mort,EUR,bmi,all_cause_mortality_EUR,MR Egger,466,0.104181374947488,0.0252788923252291,4.46305065324842e-05,1.10980172689212,1.05615477944752,1.16617364895799,466,76.76648912953,ieu-b-40,ebi-a-GCST006701
bmi-mort,EUR,bmi,all_cause_mortality_EUR,Weighted median,466,0.105445533522955,0.0121173471686884,3.25995830680252e-18,1.11120557942139,1.08512537473983,1.13791260298679,466,76.76648912953,ieu-b-40,ebi-a-GCST006701
bmi-mort,EUR,bmi,all_cause_mortality_EUR,Simple mode,466,0.146595346995926,0.0424438458063294,0.000603189638483683,1.15788532644293,1.06545869846065,1.25832979835714,466,76.76648912953,ieu-b-40,ebi-a-GCST006701
bmi-mort,EUR,bmi,all_cause_mortality_EUR,Weighted mode,466,0.0772766903217173,0.0713581274938238,0.279395536783769,1.08034095492868,0.939332991064229,1.24251632807433,466,76.76648912953,ieu-b-40,ebi-a-GCST006701
scr-mort,EUR,leisure_screen_tv_time,all_cause_mortality_EUR,Inverse variance weighted,108,0.190870905783993,0.0274318636114917,3.45137325024414e-12,1.21030319885324,1.14694794453837,1.27715807864667,108,40.7726199956997,ukb-b-5192,ebi-a-GCST006701
scr-mort,EUR,leisure_screen_tv_time,all_cause_mortality_EUR,MR Egger,108,0.135482401430502,0.122712632514586,0.272066073877725,1.14508904372799,0.900293589499352,1.45644591204416,108,40.7726199956997,ukb-b-5192,ebi-a-GCST006701
