pubmed_id,year,journal,phylum_candidate,phylum_bucket,title,authors_first3,doi,query_label,title_boost,triage_score,triage,pub_types,year_weight
32126082,2020,PLoS Biol,Cnidaria,Cnidaria,A G protein-coupled receptor mediates neuropeptide-induced oocyte maturation in the jellyfish Clytia.,Quiroga Artigas G; Lapébie P; Leclère L,10.1371/journal.pbio.3000614,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
32969790,2020,Elife,Cnidaria,Cnidaria,Hedgehog signaling is required for endomesodermal patterning and germ cell development in the sea anemone Nematostella vectensis.,Chen CY; McKinney SA; Ellington LR,10.7554/eLife.54573,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
32994186,2020,Biol Open,Cnidaria,Cnidaria,An improved whole life cycle culture protocol for the hydrozoan genetic model Clytia hemisphaerica.,Lechable M; Jan A; Duchene A,10.1242/bio.051268,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
29303477,2018,Elife,Cnidaria,Cnidaria,A gonad-expressed opsin mediates light-induced spawning in the jellyfish Clytia.,Quiroga Artigas G; Lapébie P; Leclère L,10.7554/eLife.29555,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
28754962,2017,Sci Rep,Cnidaria,Cnidaria,Two dopamine D2-like receptor genes from the silkworm (Bombyx mori) and their evolutionary history in metazoan.,Chen P; Chen P; Li T,10.1038/s41598-017-07055-5,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
27344671,2016,Cell Tissue Res,Cnidaria,Cnidaria,The two nerve rings of the hypostomal nervous system of Hydra vulgaris-an immunohistochemical analysis.,Hufnagel LA; Kass-Simon G,10.1007/s00441-016-2447-1,Q-cnidarian,0,0.33,pending,Journal Article,1.1
17631443,2007,C R Biol,Cnidaria,Cnidaria,RNAi gene silencing affects cell and developmental plasticity in hydra.,Galliot B; Miljkovic-Licina M; Ghila L,10.1016/j.crvi.2007.01.008,Q-cnidarian,1,1.105,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",0.85
40404622,2025,Transl Psychiatry,Mollusca,Mollusca,"First evidence of an anxiety-like behavior and its pharmacological modulation in a molluscan model organism, Lymnaea stagnalis.",Rivi V; Sarti P; Fodor I,10.1038/s41398-025-03399-z,Q-mollusc,1,1.4300000000000002,boosted_by_title,Journal Article,1.1
39442780,2025,Comp Biochem Physiol C Toxicol Pharmacol,Mollusca,Mollusca,"Quercetin, the new stress buster: Investigating the transcriptional and behavioral effects of this flavonoid on multiple stressors using Lymnaea stagnalis.",Rivi V; Batabyal A; Benatti C,10.1016/j.cbpc.2024.110053,Q-mollusc,0,0.33,pending,Journal Article,1.1
39872720,2025,Bio Protoc,Mollusca,Mollusca,Using Protein Painting Mass Spectrometry to Define Ligand Receptor Interaction Sites for Acetylcholine Binding Protein.,Graur A; Erickson N; Kabbani N,10.21769/BioProtoc.5163,Q-mollusc,0,0.33,pending,Journal Article,1.1
40090086,2025,Int Immunopharmacol,Mollusca,Mollusca,"Unraveling lipopolysaccharide-induced behavioral and molecular effects in Lymnaea stagnalis, an emerging model organism for translational neuroscience.",Rivi V; Rigillo G; Alboni S,10.1016/j.intimp.2025.114418,Q-mollusc,0,0.33,pending,Journal Article,1.1
37626986,2023,Biology (Basel),Mollusca,Mollusca,LPS-Induced Garcia Effect and Its Pharmacological Regulation Mediated by Acetylsalicylic Acid: Behavioral and Transcriptional Evidence.,Rivi V; Batabyal A; Lukowiak K,10.3390/biology12081100,Q-mollusc,1,1.4300000000000002,boosted_by_title,Journal Article,1.1
30257576,2018,Acta Biol Hung,Mollusca,Mollusca,"Serotonergic regulation of the buccal (feeding) rhythm of the pond snail, Lymnaea stagnalis. An immunocytochemical, biochemical and pharmacological approach.",Elekes K; Hiripi L; Balog G,10.1556/018.68.2018.3.1,Q-mollusc,1,1.4300000000000002,boosted_by_title,Journal Article,1.1
28855319,2017,J Exp Biol,Mollusca,Mollusca,Pharmacological effects of cannabinoids on learning and memory in Lymnaea.,Sunada H; Watanabe T; Hatakeyama D,10.1242/jeb.159038,Q-mollusc,1,1.4300000000000002,boosted_by_title,Journal Article,1.1
25632137,2015,J Neurosci,Mollusca,Mollusca,Rescue of impaired long-term facilitation at sensorimotor synapses of Aplysia following siRNA knockdown of CREB1.,Zhou L; Zhang Y; Liu RY,10.1523/JNEUROSCI.3330-14.2015,Q-mollusc,1,1.105,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural",0.85
22776488,2012,Acta Biol Hung,Mollusca,Mollusca,"Immunological and pharmacological identification of the dopamine D1 receptor in the CNS of the pond snail, Lymnaea stagnalis.",Hernádi L; Vehovszky Á; Serfőző Z,10.1556/ABiol.63.2012.Suppl.2.20,Q-mollusc,1,1.105,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",0.85
18550764,2008,J Neurosci,Mollusca,Mollusca,A novel conditional genetic system reveals that increasing neuronal cAMP enhances memory and retrieval.,Isiegas C; McDonough C; Huang T,10.1523/JNEUROSCI.2935-07.2008,Q-mollusc,1,1.105,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",0.85
12611939,2003,J Neurophysiol,Mollusca,Mollusca,Pharmacological characterization of an adenylyl cyclase-coupled 5-HT receptor in aplysia: comparison with mammalian 5-HT receptors.,Cohen JE; Onyike CU; McElroy VL,10.1152/jn.01004.2002,Q-mollusc,1,1.3,boosted_by_title,"Comparative Study;Journal Article;Research Support, U.S. Gov't, P.H.S.",1.0
12242491,2002,Cell Tissue Res,Mollusca,Mollusca,"Nitric oxide level regulates the embryonic development of the pond snail Lymnaea stagnalis: pharmacological, behavioral, and ultrastructural studies.",Serfözö Z; Elekes K,10.1007/s00441-002-0589-9,Q-mollusc,1,1.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",1.0
