case,spec_id,dv,treatment,controls,fe,sample,waves_or_lag,branch,n,beta,se,p,ci_lo,ci_hi,is_focal_broad,is_focal_narrow
C13,659,ln_savings,has_mortgage_lag,extended,person_year_province,rural,pid,bitter,19479,-0.3361854025727726,0.2046675690837237,0.10046728509250769,-0.737333837976871,0.06496303283132587,False,False
C13,660,ln_savings,has_mortgage_lag,extended,person_year_province,rural,provcd,bitter,19479,-0.3361854025727726,0.213713837862877,0.11570415361876929,-0.7550645247840115,0.08269371963846633,False,False
C13,661,ln_savings,has_mortgage_lag,minimal,person_year,young_lt40,pid,bitter,7520,1.087635071455076,0.2222391287059667,9.881412685874835e-07,0.6520463791913813,1.5232237637187707,False,False
C13,662,ln_savings,has_mortgage_lag,minimal,person_year,young_lt40,provcd,bitter,7520,1.087635071455076,0.2311085479646764,2.524196418329794e-06,0.6346623174443102,1.5406078254658417,False,False
C13,663,ln_savings,has_mortgage_lag,minimal,person_year_province,young_lt40,pid,bitter,7520,1.7110762630865954,0.2213881004757461,1.0880185641326534e-14,1.277155586154133,2.144996940019058,False,False
C13,664,ln_savings,has_mortgage_lag,minimal,person_year_province,young_lt40,provcd,bitter,7520,1.7110762630865954,0.4159970732090493,3.9022382164688445e-05,0.8957219995968588,2.5264305265763323,False,False
C13,665,ln_savings,has_mortgage_lag,demog,person_year,young_lt40,pid,bitter,7520,0.8281861969235147,0.2230998246093439,0.000205483623324,0.3909105406892006,1.2654618531578288,False,False
C13,666,ln_savings,has_mortgage_lag,demog,person_year,young_lt40,provcd,bitter,7520,0.8281861969235147,0.2449027374872815,0.0007204025972376,0.34817683144844297,1.3081955623985864,False,False
C13,667,ln_savings,has_mortgage_lag,demog,person_year_province,young_lt40,pid,bitter,7520,0.967883681485982,0.2150167670465778,6.749667887273603e-06,0.5464508180746895,1.3893165448972744,False,False
C13,668,ln_savings,has_mortgage_lag,demog,person_year_province,young_lt40,provcd,bitter,7520,0.967883681485982,0.3640098883287265,0.0078384857537536,0.25442430036167807,1.6813430626102859,False,False
C13,669,ln_savings,has_mortgage_lag,extended,person_year,young_lt40,pid,bitter,7519,0.769554012073258,0.2249043045537573,0.0006223200218776,0.32874157514789376,1.2103664489986223,False,False
C13,670,ln_savings,has_mortgage_lag,extended,person_year,young_lt40,provcd,bitter,7519,0.769554012073258,0.2514502045223084,0.0022099516772248,0.27671161120953364,1.2623964129369825,False,False
C13,671,ln_savings,has_mortgage_lag,extended,person_year_province,young_lt40,pid,bitter,7519,0.9521295496842546,0.2153266717203216,9.788609545591243e-06,0.5300892731124243,1.3741698262560849,False,False
C13,672,ln_savings,has_mortgage_lag,extended,person_year_province,young_lt40,provcd,bitter,7519,0.9521295496842546,0.3687206297485881,0.0098157907889084,0.22943711537702194,1.674821983991487,False,False
C13,673,ln_savings,ln_house_debts_lag,minimal,person_year,all,pid,bitter,40020,0.0283430746439183,0.0074516205817255,0.00014260138442989678,0.01373789830373632,0.04294825098410028,False,False
C13,674,ln_savings,ln_house_debts_lag,minimal,person_year,all,provcd,bitter,40020,0.0283430746439183,0.0070141926710081,5.326512860515109e-05,0.014595257008742426,0.042090892279094176,False,False
C13,675,ln_savings,ln_house_debts_lag,minimal,person_year_province,all,pid,bitter,40020,0.009739450819612,0.0073173167222047,0.1831844124928534,-0.004602489955909211,0.02408139159513321,False,False
C13,676,ln_savings,ln_house_debts_lag,minimal,person_year_province,all,provcd,bitter,40020,0.009739450819612,0.0164099324509588,0.5528402264886157,-0.022424016784267246,0.041902918423491246,False,False
C13,677,ln_savings,ln_house_debts_lag,demog,person_year,all,pid,bitter,40018,0.0193229898592747,0.0074902147862312,0.0098867725824264,0.004642168878261547,0.03400381084028785,False,False
C13,678,ln_savings,ln_house_debts_lag,demog,person_year,all,provcd,bitter,40018,0.0193229898592747,0.0066292888236233,0.0035592707772982,0.006329583764973031,0.03231639595357637,False,False
C13,679,ln_savings,ln_house_debts_lag,demog,person_year_province,all,pid,bitter,40018,0.013729273316133,0.0074484658652403,0.0652947001844514,-0.0008697197797379874,0.028328266412003988,False,False
C13,680,ln_savings,ln_house_debts_lag,demog,person_year_province,all,provcd,bitter,40018,0.013729273316133,0.0098363106084604,0.1627823566315114,-0.005549895476449381,0.03300844210871538,False,False
C13,681,ln_savings,ln_house_debts_lag,extended,person_year,all,pid,bitter,40017,0.0192712036581128,0.0074900810868267,0.0100851352677066,0.004590644727932469,0.03395176258829313,False,False
C13,682,ln_savings,ln_house_debts_lag,extended,person_year,all,provcd,bitter,40017,0.0192712036581128,0.0066417650426466,0.0037135893795232,0.006253344174525466,0.03228906314170014,False,False
C13,683,ln_savings,ln_house_debts_lag,extended,person_year_province,all,pid,bitter,40017,0.013766030177217,0.0074487911843774,0.0645894469553262,-0.0008336005441627048,0.028365660898596705,False,False
C13,684,ln_savings,ln_house_debts_lag,extended,person_year_province,all,provcd,bitter,40017,0.013766030177217,0.0098254825700856,0.161197970808087,-0.005491915660150774,0.033023976014584774,False,False
C13,685,ln_savings,ln_house_debts_lag,minimal,person_year,urban,pid,bitter,20006,0.0475749820474044,0.0100117249054395,2.014875048139686e-06,0.027952001232742982,0.06719796286206582,False,False
C13,686,ln_savings,ln_house_debts_lag,minimal,person_year,urban,provcd,bitter,20006,0.0475749820474044,0.0133081363792433,0.0003503894255278,0.021491034744087534,0.07365892935072127,False,False
C13,687,ln_savings,ln_house_debts_lag,minimal,person_year_province,urban,pid,bitter,20006,0.0280973127061702,0.0096548296801844,0.0036121820487994,0.009173846533008779,0.04702077887933162,False,False
C13,688,ln_savings,ln_house_debts_lag,minimal,person_year_province,urban,provcd,bitter,20006,0.0280973127061702,0.0254081946159886,0.2687972304874332,-0.02170274874116745,0.07789737415350785,False,False
C13,689,ln_savings,ln_house_debts_lag,demog,person_year,urban,pid,bitter,20006,0.0369648564709471,0.0102415001084107,0.0003070000994064,0.01689151625846213,0.05703819668343207,False,False
C13,690,ln_savings,ln_house_debts_lag,demog,person_year,urban,provcd,bitter,20006,0.0369648564709471,0.0132223605022043,0.0051798315849254,0.01104902988662667,0.06288068305526753,False,False
C13,691,ln_savings,ln_house_debts_lag,demog,person_year_province,urban,pid,bitter,20006,0.0317920255738733,0.0100125628805531,0.001497262553995,0.012167402327989223,0.05141664881975737,False,False
C13,692,ln_savings,ln_house_debts_lag,demog,person_year_province,urban,provcd,bitter,20006,0.0317920255738733,0.0170164376695981,0.0617185058992262,-0.0015601922585389838,0.06514424340628558,False,False
C13,693,ln_savings,ln_house_debts_lag,extended,person_year,urban,pid,bitter,20006,0.0369362311056699,0.0102404628592765,0.0003098880163832,0.016864923901487965,0.05700753830985184,False,False
C13,694,ln_savings,ln_house_debts_lag,extended,person_year,urban,provcd,bitter,20006,0.0369362311056699,0.0131647850656151,0.005020985480244,0.011133252377064307,0.0627392098342755,False,False
C13,695,ln_savings,ln_house_debts_lag,extended,person_year_province,urban,pid,bitter,20006,0.0316186483880876,0.010020754832583,0.0016032433840698,0.011977968916224921,0.051259327859950285,False,False
C13,696,ln_savings,ln_house_debts_lag,extended,person_year_province,urban,provcd,bitter,20006,0.0316186483880876,0.017004908869534,0.0629727870854838,-0.001710972996199038,0.06494826977237425,False,False
C13,697,ln_savings,ln_house_debts_lag,minimal,person_year,rural,pid,bitter,19435,0.0087744878082172,0.0116260752409049,0.4504140973006702,-0.014012619663956402,0.031561595280390806,False,False
C13,698,ln_savings,ln_house_debts_lag,minimal,person_year,rural,provcd,bitter,19435,0.0087744878082172,0.0109715388374753,0.4238556773425752,-0.012729728313234387,0.03027870392966879,False,False
C13,699,ln_savings,ln_house_debts_lag,minimal,person_year_province,rural,pid,bitter,19435,-0.0102500751816829,0.0113305337868366,0.3656551503476444,-0.032457921403882636,0.011957771040516834,False,False
C13,700,ln_savings,ln_house_debts_lag,minimal,person_year_province,rural,provcd,bitter,19435,-0.0102500751816829,0.0131866664742885,0.43697824651832295,-0.03609594147128836,0.01559579110792256,False,False
C13,701,ln_savings,ln_house_debts_lag,demog,person_year,rural,pid,bitter,19433,0.0073618771860895,0.0116107735228093,0.5260444691986816,-0.015395238918616726,0.030118993290795728,False,False
C13,702,ln_savings,ln_house_debts_lag,demog,person_year,rural,provcd,bitter,19433,0.0073618771860895,0.0109495719422359,0.5013648298928935,-0.014099283820692865,0.028823038192871867,False,False
C13,703,ln_savings,ln_house_debts_lag,demog,person_year_province,rural,pid,bitter,19433,-0.006593538816274,0.0114430172289314,0.5644757357237351,-0.02902185258497954,0.015834774952431543,False,False
C13,704,ln_savings,ln_house_debts_lag,demog,person_year_province,rural,provcd,bitter,19433,-0.006593538816274,0.0113838787126379,0.5624544521331765,-0.02890594109304428,0.015718863460496283,False,False
