iso3,country,sigma_st,tau_env_internet,tau_env_gdp_doubling,gelfand_tightness,cantril,cantril_residual,suicide,internet_latest,tau_ratio_internet_gelfand,tau_ratio_gdp_gelfand,log_tau_ratio
PHL,Philippines,-0.3837,17.0000,33.0221,,5.6471,0.6000,3.7745,67.2630,,,
PAK,Pakistan,-0.3950,,43.9613,12.3000,5.1530,0.5119,7.0213,57.2530,,3.5741,
GIN,Guinea,-0.3954,,38.1664,,4.4385,0.2852,8.3532,33.3047,,,
BLZ,Belize,-0.4029,20.0000,105.7272,,5.9560,0.6463,5.7386,80.0058,,,
HND,Honduras,-0.4260,,13.2908,,5.6666,0.7525,4.3165,58.6227,,,
LAO,Lao PDR,-0.4284,12.0000,15.0358,,4.9235,0.0066,4.9963,65.5927,,,
PER,Peru,-0.4296,19.0000,27.0930,,5.6925,0.1206,1.5401,81.9571,,,
MEX,Mexico,-0.4350,19.0000,149.6825,7.2000,6.4599,0.7604,5.9885,83.1223,2.6389,20.7892,0.9704
MDA,Moldova,-0.4448,11.0000,,,5.7442,0.3938,11.4078,77.3688,,,
VNM,Viet Nam,-0.4487,14.0000,13.2529,,5.3032,-0.0644,7.3316,84.1500,,,
PAN,Panama,-0.4541,18.0000,21.5970,,6.3704,0.2887,2.8990,72.7715,,,
BRA,Brazil,-0.4733,14.0000,65.8133,3.5000,6.4287,0.7709,6.2893,84.4635,4.0000,18.8038,1.3863
LCA,St. Lucia,-0.4758,18.0000,,,,,6.4166,68.2050,,,
NER,Niger,-0.4760,,154.1884,,4.5207,0.7965,8.9189,15.5576,,,
GMB,"Gambia, The",-0.4792,,1147.3335,,4.7521,0.5749,8.7291,49.4943,,,
CZE,Czechia,-0.4889,9.0000,43.3174,,6.8011,0.4602,10.4100,87.6878,,,
SYR,Syrian Arab Republic,-0.4925,,,,3.3638,-1.3338,0.7091,33.7700,,,
GNQ,Equatorial Guinea,-0.4931,12.0000,7.6377,,,,10.6473,63.2993,,,
QAT,Qatar,-0.5021,9.0000,57.0565,,6.3745,-0.6080,5.4839,98.0854,,,
NGA,Nigeria,-0.5262,,60.1406,,4.9231,0.4985,8.1429,41.2114,,,
BGD,Bangladesh,-0.5364,,17.0357,,4.6877,-0.2950,3.0551,53.4217,,,
KHM,Cambodia,-0.5456,5.0000,24.7579,,4.4899,,5.0534,68.4753,,,
KGZ,Kyrgyz Republic,-0.5658,14.0000,,,5.4399,0.5389,9.5524,92.0286,,,
BTN,Bhutan,-0.5816,11.0000,15.5613,,5.0927,-0.3007,5.4354,91.2774,,,
NIC,Nicaragua,-0.5843,15.0000,47.6802,,6.1053,,4.7185,61.3955,,,
LBY,Libya,-0.5852,11.0000,,,5.4943,,5.8875,81.9545,,,
YEM,"Yemen, Rep.",-0.6327,,,,3.6335,,5.4317,17.4910,,,
UZB,Uzbekistan,-0.6395,13.0000,28.5670,,6.0927,0.9656,11.0619,89.5055,,,
AFG,Afghanistan,-0.6439,,25.7843,,2.9177,,5.3615,16.0950,,,
BOL,Bolivia,-0.6501,16.0000,41.7029,,5.7404,0.6524,5.9477,79.7047,,,
IDN,Indonesia,-0.6778,14.0000,22.2865,,5.2511,-0.0020,1.6200,72.7808,,,
SGP,Singapore,-0.7535,8.0000,22.2766,10.4000,6.4671,,7.2741,94.3776,0.7692,2.1420,-0.2624
EMR,,-0.8152,,,,,,4.2866,,,,
COG,"Congo, Rep.",-0.8184,,,,4.8471,,11.5296,47.2516,,,
BHR,Bahrain,-0.8313,11.0000,82.7506,,6.2879,,4.8251,100.0000,,,
TJK,Tajikistan,-0.8782,,,,5.3231,0.7508,3.2678,55.7934,,,
KWT,Kuwait,-0.8866,10.0000,87.5336,,6.1089,,1.8436,99.7473,,,
PNG,Papua New Guinea,-0.8891,,81.9865,,,,2.2943,18.8116,,,
IRQ,Iraq,-0.9336,10.0000,116.7677,,4.6857,,4.0842,81.4745,,,
BRB,Barbados,-0.9378,7.0000,,,,,3.5166,70.3647,,,
TLS,Timor-Leste,-0.9981,,18.5050,,,,4.2180,35.0420,,,
OMN,Oman,-1.1027,11.0000,320.5774,,,,1.5419,95.2517,,,
SAU,Saudi Arabia,-1.1662,11.0000,,,6.4194,,1.6967,100.0000,,,
AZE,Azerbaijan,-1.1692,8.0000,36.2445,,5.2061,,2.0266,90.4398,,,
MAC,"Macao SAR, China",-1.2734,13.0000,273.9098,,,,,89.8264,,,
STP,Sao Tome and Principe,-1.2950,,53.1403,,,,1.2748,59.1176,,,
GRD,Grenada,-1.3897,17.0000,41.5852,,,,0.6801,70.1616,,,
VCT,St. Vincent and the Grenadines,-1.4082,19.0000,27.8310,,,,0.5643,76.1901,,,
ATG,Antigua and Barbuda,-1.4286,14.0000,163.6150,,,,0.4360,72.7304,,,
DZA,Algeria,-1.4971,15.0000,108.9828,,5.3845,,2.1475,77.4178,,,
BRN,Brunei Darussalam,-1.5528,14.0000,,,,,2.2517,96.2983,,,
AND,Andorra,,9.0000,201.0542,,,,,94.3976,,,
ASM,American Samoa,,,,,,,,0.0000,,,
CHI,,,,,,,,,,,,
CYM,Cayman Islands,,3.0000,,,,,,81.0677,,,
DMA,Dominica,,15.0000,75.1117,,,,,82.0469,,,
GIB,Gibraltar,,10.0000,,,,,,94.4445,,,
GUM,Guam,,13.0000,,,,,,80.5055,,,
IMN,,,,,,,,,,,,
KNA,St. Kitts and Nevis,,10.0000,33.3262,,,,,76.8840,,,
LIE,Liechtenstein,,4.0000,,,,,,98.2642,,,
MAF,,,,,,,,,,,,
MCO,Monaco,,6.0000,,,,,,99.0449,,,
MNP,Northern Mariana Islands,,,,,,,,0.0000,,,
NCL,New Caledonia,,14.0000,,,,,,82.0058,,,
NRU,Nauru,,6.0000,,,,,,83.0117,,,
OWID_AFR,,,,,,4.4740,,,,,,
OWID_ASI,,,,,,4.8990,,,,,,
OWID_CYN,,,,,,5.6675,,,,,,
